ID,RR,Months,Year
2,Moderate,July,2023
2,Low,October,2024
6,Moderate,May,2023
4,Critical,April,2024
6,Critical,May,2024
10,Low,January,2024
9,Critical,January,2023
3,High,November,2024
1,Moderate,October,2023
3,Moderate,September,2023
1,High,March,2023
5,High,August,2024
5,Moderate,November,2024
10,Low,April,2023
10,Low,March,2023
10,High,May,2024
10,Critical,February,2024
8,High,December,2024
9,Moderate,January,2024
6,Moderate,September,2024
9,Critical,January,2023
7,Moderate,August,2023
9,Critical,February,2024
4,Moderate,May,2024
9,High,December,2023
6,Moderate,July,2024
6,Critical,February,2023
5,Moderate,May,2023
1,High,September,2024
6,Low,October,2024
8,Low,July,2024
5,Critical,April,2023
8,High,May,2023
7,Low,January,2024
9,Moderate,July,2023
6,Moderate,March,2023
7,High,May,2023
6,Critical,May,2023
6,High,October,2023
9,Critical,September,2023
6,High,August,2024
10,Low,November,2023
6,Moderate,April,2024
4,Low,September,2023
10,High,July,2023
3,Low,August,2024
5,Moderate,March,2023
1,High,June,2024
6,Moderate,April,2023
10,Low,July,2023
2,Critical,December,2023
6,Critical,April,2023
5,Critical,January,2023
10,Moderate,January,2023
6,Low,October,2023
8,Low,August,2024
9,Moderate,July,2024
7,Moderate,January,2024
1,Critical,March,2023
1,Moderate,February,2024
10,Low,April,2024
10,Moderate,July,2024
8,Critical,April,2023
8,Critical,August,2024
8,High,September,2024
3,Critical,September,2023
3,Critical,October,2024
4,Low,July,2023
5,Moderate,May,2023
8,Low,June,2024
8,Moderate,July,2024
10,Low,January,2024
2,High,February,2024
8,High,December,2024
9,High,April,2024
7,High,June,2024
7,Low,August,2023
9,Critical,December,2023
4,Critical,October,2024
5,Critical,July,2024
9,Critical,January,2024
5,Moderate,February,2023
7,High,September,2024
5,Moderate,December,2024
9,High,March,2023
7,Critical,May,2024
9,Moderate,October,2024
9,Critical,January,2023
2,Moderate,October,2024
6,Moderate,December,2023
9,High,February,2024
5,Moderate,September,2023
9,Moderate,September,2024
8,Critical,August,2024
3,Critical,December,2024
5,Moderate,February,2024
3,High,July,2023
8,High,July,2024
6,Moderate,July,2023
3,Low,November,2023
